melanization,parental.pair,convergence,sex,age,mating.status,bloodfed
2,22,converged,female,1,virgin,no
2,22,converged,female,1,virgin,no
2,22,converged,female,1,virgin,no
0,22,converged,female,3,mated,no
0,22,converged,female,3,mated,no
0,22,converged,female,3,mated,no
0,22,converged,female,3,mated,no
0,22,converged,female,3,virgin,no
0,22,converged,female,3,virgin,no
0,22,converged,female,3,virgin,no
1,22,converged,female,3,virgin,no
1,22,converged,female,3,virgin,no
1,23,converged,male,1,virgin,no
2,23,converged,male,1,virgin,no
2,23,converged,male,1,virgin,no
2,23,converged,male,1,virgin,no
0,23,converged,male,3,virgin,no
0,23,converged,male,3,virgin,no
2,23,converged,male,3,virgin,no
2,23,converged,male,3,virgin,no
2,23,converged,male,3,virgin,no
1,23,converged,female,1,virgin,no
2,23,converged,female,1,virgin,no
2,23,converged,female,1,virgin,no
2,23,converged,female,1,virgin,no
2,23,converged,female,1,virgin,no
0,23,converged,female,3,virgin,no
2,23,converged,female,3,virgin,no
2,23,converged,female,3,virgin,no
2,23,converged,female,3,virgin,no
2,23,converged,female,3,virgin,no
0,24,nonconverged,male,1,virgin,no
2,24,nonconverged,male,1,virgin,no
2,24,nonconverged,male,1,virgin,no
2,24,nonconverged,male,1,virgin,no
2,24,nonconverged,male,1,virgin,no
0,24,nonconverged,male,3,mated,no
0,24,nonconverged,male,3,mated,no
1,24,nonconverged,male,3,mated,no
2,24,nonconverged,male,3,mated,no
2,24,nonconverged,male,3,mated,no
1,24,nonconverged,male,3,virgin,no
1,24,nonconverged,male,3,virgin,no
2,24,nonconverged,male,3,virgin,no
2,24,nonconverged,male,3,virgin,no
2,24,nonconverged,male,3,virgin,no
1,24,nonconverged,female,1,virgin,no
1,24,nonconverged,female,1,virgin,no
2,24,nonconverged,female,1,virgin,no
2,24,nonconverged,female,1,virgin,no
2,24,nonconverged,female,1,virgin,no
0,24,nonconverged,female,3,mated,no
2,24,nonconverged,female,3,mated,no
2,24,nonconverged,female,3,mated,no
2,24,nonconverged,female,3,mated,no
2,24,nonconverged,female,3,mated,no
1,24,nonconverged,female,3,virgin,no
2,24,nonconverged,female,3,virgin,no
